headline,content,published_date,article_url
"Capri Global attracts investment from Prashant Jain in Rs 2,000 cr QIP","Prashant Jain's 3P Investment Managers invested ₹150 crore in Capri Global Capital through its Category-III Alternative Investment Fund, as part of Capri Global's successful ₹2,000-crore QIP. The QIP saw strong demand from institutional investors, including Quant Mutual Fund, BlackRock and several insurance companies. Capri Global intends to use the funds to bolster capital adequacy and support future expansion plans.","18 Jun, 2025, 02:36 PM IST",https://economictimes.indiatimes.com/markets/stocks/news/capri-global-bags-investment-from-prashant-jain-madhu-kela-in-rs-2000-cr-qip/articleshow/121879967.cms
FIFA Club World Cup 2025 faces challenges in US debut amid ticket woes and player backlash,"FIFA’s revamped 32-team Club World Cup debuts in the US this week, bringing top international clubs and players to American stadiums. However, concerns over player workloads, sluggish ticket sales, and pricing controversies have raised questions about the tournament’s reception and viability. FIFA aims to expand global club competition through this format","15 Jun, 2025, 06:58 AM IST",https://economictimes.indiatimes.com/news/international/us/fifa-club-world-cup-2025-faces-challenges-in-us-debut-amid-ticket-woes-and-player-backlash/articleshow/121857777.cms
"FIFA Club World Cup 2025: How to watch matches through cable TV or stream online? Here’s start date, end date, venues, teams, opening match date, time, where to watch and how to buy match tickets","The FIFA Club World Cup 2025 begins June 14 in the United States. The tournament features 32 football clubs including Inter Miami CF, PSG, and Bayern Munich. Matches will take place in 12 stadiums across 11 US cities. Fans can watch via cable or online streaming platforms like DAZN and Hulu.","14 Jun, 2025, 07:55 PM IST",https://economictimes.indiatimes.com/news/international/us/fifa-club-world-cup-2025-how-to-watch-matches-through-cable-tv-or-stream-online-heres-start-date-end-date-venues-teams-opening-match-date-time-where-to-watch-and-how-to-buy-match-tickets/articleshow/121850574.cms
Wall Street Week Ahead: Fed meeting in focus as investors seek rate-path hints,"Investors are closely watching the Federal Reserve's upcoming policy meeting for signals on potential rate cuts amid concerns about a softening labor market and persistent inflation. Recent geopolitical tensions and trade uncertainties add to market volatility, while upcoming retail sales data and the looming end of a tariff pause further fuel investor caution.","14 Jun, 2025, 09:32 AM IST",https://economictimes.indiatimes.com/markets/stocks/news/wall-st-week-ahead-fed-meeting-in-focus-as-investors-seek-rate-path-hints/articleshow/121842076.cms
Will Los Angeles protests disrupt World Cup and Olympics? Is FIFA relocating matches to Mexico and Canada?,"Los Angeles, a key city for the 2026 FIFA World Cup and 2028 Olympics, faces scrutiny amid nationwide immigration protests against President Trump's policies. Concerns are rising about how these tensions might impact preparations for the sporting events. Despite official assurances and exemptions for athletes, visa delays and travel bans have sparked worries about discouraging international participation.","10 Jun, 2025, 12:01 PM IST",https://economictimes.indiatimes.com/news/international/global-trends/will-los-angeles-protests-disrupt-world-cup-and-olympics-is-fifa-relocating-matches-to-mexico-and-canada/articleshow/121746059.cms
Can the US successfully deliver FIFA Club World Cup 2025?,"With the FIFA Club World Cup 2025 imminent in the US, concerns about pitch readiness, especially in NFL venues, are addressed by FIFA's assurances of natural grass and regulation sizes. This tournament, featuring 32 elite clubs and a $1 billion prize, serves as a crucial prelude to the 2026 World Cup, testing infrastructure and attracting global attention.","09 Jun, 2025, 10:00 AM IST",https://economictimes.indiatimes.com/news/international/us/can-the-us-successfully-deliver-fifa-club-world-cup-2025/articleshow/121718110.cms
"FIFA Club World Cup 2025: Complete schedule, dates, timings, groups - All you need to know","The FIFA Club World Cup 2025, featuring 32 teams, will be held in the United States from June 14 to July 13 across 12 stadiums. Lionel Messi's Inter Miami will face Al-Ahly in the opening match in Miami, while the final is scheduled for MetLife Stadium in New Jersey. The tournament includes group stages and direct elimination rounds.","08 Jun, 2025, 01:23 PM IST",https://economictimes.indiatimes.com/news/international/us/fifa-club-world-cup-2025-complete-schedule-dates-timings-groups-all-you-need-to-know/articleshow/121705092.cms
Aaron Rodgers expected to sign with Steelers ahead of mandatory minicamp,"Aaron Rodgers is expected to sign with the Pittsburgh Steelers and report for mandatory minicamp next week, according to ESPN. The veteran quarterback, a free agent since leaving the New York Jets, would fill a key need for the Steelers and potentially face his former team in Week 1","06 Jun, 2025, 01:27 AM IST",https://economictimes.indiatimes.com/news/international/us/aaron-rodgers-expected-to-sign-with-steelers-ahead-of-mandatory-minicamp/articleshow/121659041.cms
Lionel Messi in spotlight as FIFA's Club World Cup 2025 set to kick off in US,The FIFA Club World Cup 2025 will start in June. Thirty-two top clubs will compete in the US. The final match is on July 13 in New Jersey. Inter Miami will play Al Ahly in the first match. FIFA has announced a prize money of $1 billion. The winner will get $125 million. The tournament will have eight groups.,"04 Jun, 2025, 01:01 PM IST",https://economictimes.indiatimes.com/news/international/us/lionel-messi-in-spotlight-as-fifas-club-world-cup-2025-set-to-kick-off-in-us/articleshow/121616619.cms
"FIFA Club World Cup 2025: Full schedule, groups, and key fixtures unveiled for U.S. debut","The FIFA Club World Cup 2025 heads to the U.S. for its largest edition yet, featuring 32 clubs from 20 nations. With Messi, elite teams, and expanded groups, the month-long tournament kicks off May 31 and culminates July 13 at MetLife Stadium, NJ.","02 Jun, 2025, 05:44 PM IST",https://economictimes.indiatimes.com/news/international/us/fifa-club-world-cup-2025-full-schedule-groups-and-key-fixtures-unveiled-for-u-s-debut/articleshow/121523141.cms
